Trying substitutions to: 3
with goodVertices 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 15
bad color to improve: 2  11  with index 40
bad color to improve: 2  15  with index 44
bad color to improve: 5  11  with index 76
3 bad colorings on level 1
Solved config  |2, 11| descendents: 
|3, 8, 10, 12, 15 |---| 3, 9, 10, 13, 14|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 8, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 9, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 12, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|3, 14, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|3, 15, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|8, 8, 3, 3|---> |1, 2| possibles  |3, 15|
|8, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|8, 12, 3, 3|---> |1, 2| possibles  |3, 15|
|8, 15, 3, 3|---> |1, 2| possibles  |3, 15|
|9, 9, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 3, 3|---> |1, 4| possibles  |9|
|9, 13, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 3, 3|---> |1, 4| possibles  |9|
|10, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|10, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|10, 12, 3, 3|---> |1, 2| possibles  |3, 15|
|10, 13, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 3, 3|---> |1, 4| possibles  |9|
|10, 15, 3, 3|---> |1, 2| possibles  |3, 15|
|12, 12, 3, 3|---> |1, 2| possibles  |3, 15|
|12, 15, 3, 3|---> |1, 2| possibles  |3, 15|
|13, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|13, 14, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 3, 3|---> |1, 4| possibles  |9|
|15, 15, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 3, 3, 8|---> |1, 2| possibles  |3, 15|
|3, 9, 3, 8|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 3, 8|---> |2, 5| possibles  |3, 8|
|3, 14, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 3, 8|---> |1, 2| possibles  |3, 15|
|9, 10, 3, 8|---> |2, 4| possibles  |10, 12|
|9, 13, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|10, 10, 3, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|13, 13, 3, 8|---> |2, 5| possibles  |3, 8|
|13, 14, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|3, 3, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 8, 3, 9|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 9|---> |1, 2| possibles  |3, 15|
|3, 12, 3, 9|---> |1, 2| possibles  |3, 15|
|3, 15, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|8, 8, 3, 9|---> |1, 2| possibles  |3, 15|
|8, 10, 3, 9|---> |1, 2| possibles  |3, 15|
|8, 12, 3, 9|---> |1, 2| possibles  |3, 15|
|8, 15, 3, 9|---> |1, 2| possibles  |3, 15|
|10, 10, 3, 9|---> |1, 2| possibles  |3, 15|
|10, 12, 3, 9|---> |1, 2| possibles  |3, 15|
|10, 15, 3, 9|---> |1, 2| possibles  |3, 15|
|12, 12, 3, 9|---> |1, 2| possibles  |3, 15|
|12, 15, 3, 9|---> |1, 2| possibles  |3, 15|
|15, 15, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 3, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 3, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 8, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 9, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 10, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 12, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|3, 14, 3, 10|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 3, 10|---> |1, 2| possibles  |3, 15|
|8, 8, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 10, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 12, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 15, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|9, 9, 3, 10|---> |1, 2| possibles  |3, 15|
|9, 10, 3, 10|---> |2, 4| possibles  |10, 12|
|9, 13, 3, 10|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 3, 10|---> |2, 4| possibles  |10, 12|
|10, 10, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 10, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 12, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 3, 10|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 3, 10|---> |2, 4| possibles  |10, 12|
|10, 15, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|12, 12, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|12, 15, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|13, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|13, 14, 3, 10|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 3, 10|---> |2, 4| possibles  |10, 12|
|15, 15, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 3, 3, 12|---> |1, 2| possibles  |3, 15|
|3, 9, 3, 12|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 3, 12|---> |2, 5| possibles  |3, 8|
|3, 14, 3, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 3, 12|---> |1, 2| possibles  |3, 15|
|9, 10, 3, 12|---> |2, 4| possibles  |10, 12|
|9, 13, 3, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 3, 12|---> |2, 4| possibles  |10, 12|
|10, 10, 3, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 3, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 3, 12|---> |2, 4| possibles  |10, 12|
|13, 13, 3, 12|---> |2, 5| possibles  |3, 8|
|13, 14, 3, 12|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 3, 12|---> |2, 4| possibles  |10, 12|
|3, 3, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 8, 3, 13|---> |2, 5| possibles  |3, 8|
|3, 10, 3, 13|---> |2, 5| possibles  |3, 8|
|3, 12, 3, 13|---> |2, 5| possibles  |3, 8|
|3, 15, 3, 13|---> |1, 5| possibles  |3, 4|
|8, 8, 3, 13|---> |2, 5| possibles  |3, 8|
|8, 10, 3, 13|---> |2, 5| possibles  |3, 8|
|8, 12, 3, 13|---> |2, 5| possibles  |3, 8|
